Id;CityId;Name;LastUpdate
1565;65;ÖZALP;2022-09-03 08:09:47.2774908
1566;23;PALU;2022-09-03 08:12:13.1397519
1567;25;PASİNLER;2022-09-03 08:09:34.2836454
1568;4;PATNOS;2022-09-03 08:10:44.6903890
1569;53;PAZAR;2022-09-03 08:09:23.1911050
1570;46;PAZARCIK;2022-09-03 08:11:42.2676021
1571;11;PAZARYERİ;2022-09-03 08:13:12.8478641
1572;39;PEHLİVANKÖY;2022-09-03 08:10:09.8527744
1573;52;PERŞEMBE;2022-09-03 08:10:05.9449706
1574;62;PERTEK;2022-09-03 08:09:32.5944641
1575;56;PERVARİ;2022-09-03 08:09:45.9655167
1576;38;PINARBAŞI;2022-09-03 08:09:23.6336199
1577;39;PINARHİSAR;2022-09-03 08:12:48.8569248
1578;6;POLATLI;2022-09-03 08:09:39.4534408
1579;75;POSOF;2022-09-03 08:13:09.8083583
1580;1;POZANTI;2022-09-03 08:12:37.4091809
1581;62;PÜLÜMÜR;2022-09-03 08:13:08.6988862
1582;44;PÜTÜRGE;2022-09-03 08:12:27.2344984
1583;24;REFAHİYE;2022-09-03 08:12:26.0559734
1584;60;REŞADİYE;2022-09-03 08:11:14.2893329
1585;31;REYHANLI;2022-09-03 08:10:26.7985246
1586;53;MERKEZ;2022-09-03 08:11:57.6350213
1587;78;SAFRANBOLU;2022-09-03 08:13:18.3648161
1588;1;SAİMBEYLİ;2022-09-03 08:10:24.7822241
1590;45;SALİHLİ;2022-09-03 08:13:07.2401407
1591;31;SAMANDAĞ;2022-09-03 08:10:59.8751283
1592;2;SAMSAT;2022-09-03 08:11:07.6813097
1594;3;SANDIKLI;2022-09-03 08:09:51.1918167
